10909-10777-37735,480.00000,HOT-01,ALMACENAJE-02,4696263,
10909-10777-37735,480.00000,HOT-01,ALMACENAJE-02,4696264,
10909-10777-37735,480.00000,HOT-01,ALMACENAJE-02,4696269,
10909-10777-37735,480.00000,HOT-01,ALMACENAJE-02,4696279,
10909-10777-37735,480.00000,HOT-01,ALMACENAJE-02,4696288,
10909-10777-37735,480.00000,HOT-01,ALMACENAJE-02,4696295,
10909-10777-37735,120.00000,HOT-01,ALMACENAJE-02,4696296,
10909-10777-37735,120.00000,HOT-01,ALMACENAJE-02,4696297,
10909-10777-37736,480.00000,HOT-01,ALMACENAJE-02,4696298,
10909-10777-37736,480.00000,HOT-01,ALMACENAJE-02,4696299,
10909-10777-37736,480.00000,HOT-01,ALMACENAJE-02,4696300,
10909-10777-37736,480.00000,HOT-01,ALMACENAJE-02,4696302,
10909-10777-37736,480.00000,HOT-01,ALMACENAJE-02,4696303,
10909-10777-37736,480.00000,HOT-01,ALMACENAJE-02,4696304,
10909-10777-37736,120.00000,HOT-01,ALMACENAJE-02,4696305,
10909-10777-37736,120.00000,HOT-01,ALMACENAJE-02,4696306,
10909-10777-37737,480.00000,HOT-01,ALMACENAJE-02,4696307,
10909-10777-37737,480.00000,HOT-01,ALMACENAJE-02,4696308,
10909-10777-37737,480.00000,HOT-01,ALMACENAJE-02,4696309,
10909-10777-37737,480.00000,HOT-01,ALMACENAJE-02,4696310,
10909-10777-37737,480.00000,HOT-01,ALMACENAJE-02,4696311,
10909-10777-37737,480.00000,HOT-01,ALMACENAJE-02,4696312,
10909-10777-37737,480.00000,HOT-01,ALMACENAJE-02,4696313,
10909-10777-37737,120.00000,HOT-01,ALMACENAJE-02,4696314,
10909-10777-37737,120.00000,HOT-01,ALMACENAJE-02,4696315,
10909-10777-37738,480.00000,HOT-01,ALMACENAJE-02,4696316,
10909-10777-37738,480.00000,HOT-01,ALMACENAJE-02,4696317,
10909-10777-37738,480.00000,HOT-01,ALMACENAJE-02,4696318,
10909-10777-37738,480.00000,HOT-01,ALMACENAJE-02,4696319,
10909-10777-37738,480.00000,HOT-01,ALMACENAJE-02,4696320,
10909-10777-37738,480.00000,HOT-01,ALMACENAJE-02,4696321,
10909-10777-37738,480.00000,HOT-01,ALMACENAJE-02,4696322,
10909-10777-37738,120.00000,HOT-01,ALMACENAJE-02,4696323,
10909-10777-37739,480.00000,HOT-01,ALMACENAJE-02,4696324,
10909-10777-37739,480.00000,HOT-01,ALMACENAJE-02,4696325,
10909-10777-37739,480.00000,HOT-01,ALMACENAJE-02,4696326,
10909-10777-37739,480.00000,HOT-01,ALMACENAJE-02,4696327,
10909-10777-37739,480.00000,HOT-01,ALMACENAJE-02,4696328,
10909-10777-37739,480.00000,HOT-01,ALMACENAJE-02,4696329,
10909-10777-37739,480.00000,HOT-01,ALMACENAJE-02,4696330,
10909-10777-37739,120.00000,HOT-01,ALMACENAJE-02,4696331,
10909-10777-37739,120.00000,HOT-01,ALMACENAJE-02,4696332,
10909-10777-37740,480.00000,HOT-01,ALMACENAJE-02,4696333,
10909-10777-37740,480.00000,HOT-01,ALMACENAJE-02,4696334,
10909-10777-37740,480.00000,HOT-01,ALMACENAJE-02,4696335,
10909-10777-37740,480.00000,HOT-01,ALMACENAJE-02,4696336,
10909-10777-37740,480.00000,HOT-01,ALMACENAJE-02,4696337,
10909-10777-37740,480.00000,HOT-01,ALMACENAJE-02,4696338,
10909-10777-37740,480.00000,HOT-01,ALMACENAJE-02,4696339,
10909-10777-37740,120.00000,HOT-01,ALMACENAJE-02,4696340,
10909-10777-37740,120.00000,HOT-01,ALMACENAJE-02,4696341,
10909-10777-37741,480.00000,HOT-01,ALMACENAJE-02,4696342,
10909-10777-37741,480.00000,HOT-01,ALMACENAJE-02,4696343,
10909-10777-37741,480.00000,HOT-01,ALMACENAJE-02,4696344,
10909-10777-37741,480.00000,HOT-01,ALMACENAJE-02,4696345,
10909-10777-37741,480.00000,HOT-01,ALMACENAJE-02,4696346,
10909-10777-37741,120.00000,HOT-01,ALMACENAJE-02,4696347,
10909-10777-37741,120.00000,HOT-01,ALMACENAJE-02,4696348,
10909-10777-37742,480.00000,HOT-01,ALMACENAJE-02,4696349,
10909-10777-37742,480.00000,HOT-01,ALMACENAJE-02,4696350,
10909-10777-37742,480.00000,HOT-01,ALMACENAJE-02,4696351,
10909-10777-37742,120.00000,HOT-01,ALMACENAJE-02,4696352,
10909-10777-37742,120.00000,HOT-01,ALMACENAJE-02,4696353,
10915-10754-37730,288.00000,HOT-01,ALMACENAJE-02,4696354,
10915-10754-37730,288.00000,HOT-01,ALMACENAJE-02,4696355,
10915-10754-37730,288.00000,HOT-01,ALMACENAJE-02,4696356,
10915-10754-37730,288.00000,HOT-01,ALMACENAJE-02,4696357,
10915-10754-37730,72.00000,HOT-01,ALMACENAJE-02,4696358,
10915-10754-37730,72.00000,HOT-01,ALMACENAJE-02,4696359,
10915-10754-37730,72.00000,HOT-01,ALMACENAJE-02,4696360,
